Store,phone,email,address
Trux Solutions Inc,905-712-8523,info@truxsolutions.com,267 Matheson East Blvd Mississauga ON L4Z 1X8
Freightcom Corp,877-335-8740,svij@freightcom.com,7699 Bath Road Mississauga ON L4T 3T1
City-Link Falcon Ltd.,289-719-0007,abdul.wahab@clgoc.com,3061 Sir John's Homestead Mississauga ON L5L 3H9
Canworld Logistics Inc.,905-678-0000,sales@canworld.ca,1981 Boylen Road Unit # 8 Mississauga ON L5S 1R9
BNX Shipping Inc.,905-676-0909,importcanada@bnxlogistics.com,6255 Cantay Road Unit 4 Mississauga ON L5R 3Z4
Stream Express Inc.,905-673-2800,dispatch@streamexpress.ca,7015 Tranmere Dr. Unit #3 Mississauga ON L5S 1T7
Canada Cartage,905-564-2115,info@canadacartage.com,1115 Cardiff Blvd. Mississauga ON L5S 1L8
Stoneridge Insurance Brokers,416-388-7565 905-281-4410 ext 165,rshamim@stoneridgeinsurance.ca,5770 Timberlea Blvd #105 Mississauga ON L4W4W7
Johnston Equipment,905-712-6000,icare@johnstonequipment.com,5990 Avebury Road Mississauga ON L5R 3R2
Toronto Insurance Solutions,416-388-8918,alevi@pacins.ca,6625 Tomken Road Mississauga ON L5T 2C2
DS Trucking,1-800-499-8409,info@dstrucking.ca,7720 Kimbel Street Mississauga ON L5S1A6
Able Insurance Brokers Ltd,905-629-2253,info@ableins.ca,214-5004 Timberlea Blvd Mississauga ON L4W 5C5
Scott Dempsey Logistics Inc.,519-617-2093,dempseylogistics@live.com,RR #2 Mount Elgin ON N0J 1N0
JDFreightways Inc.,613-989-4582,jjd@jdfreightways.com,10842 HWY 43 Mountain ON K0E 1S0
Best Hand 2 Hand Movers,613-402-6066,info@besthand2handmovers.ca,274 Serena Way Nepean ON K2G 4P5
DTI Logistics Canada Inc.,519-662-9338,sales@dti-logistics.com,96 Huron Street New Hamburg ON N3A 1J3
Erb Group,519-662-2710 1-800-665-2653,info@erbgroup.com,290 Hamilton Rd. New Hamburg ON N3A 1A2
ShipToCanada.com,888-308-4872,shiptocanadachris@gmail.com,16715 Yonge Street #348 Newmarket ON L3X 1X4
A&B Courier Services Ltd.,1-800-663-6533,logistics@abcourier.com,31 Alexander Road Newmarket ON L3Y 3J2
ShipCanada.ca,877-88FREIGHT 905-836-0741,crowland@equitransexpress.com,16715 Yonge Street #348 Newmarket ON L3X 1X4
XAN Systems,905-235-0407,xansystems.net@gmail.com,62 Portland Cr. Newmarket ON L3Y 6A5
Internet Truckstop Canada,888-338-9656,sales@internettruckstop.ca,187 Main St Unit 203 Newmarket ON L3Y 3Y9
ITS Dispatch,888-338-9656,sales@its-dispatch.com,245A Main St South Newmarket ON L3Y 3Z4
Rbm Carriers Inc.,905-478-4842,dickrbmcar@sympatico.ca,21374 2nd Con. RR#1 Newmarket ON L3Y 4V8
RBM Carriers,905-478-4842,simonrbmcar@sympatico.ca,21374 2nd Concession Newmarket ON L9N 1A5
Perry Transport Ltd.,905-859-0333 1-800-263-2396,dispatch@perryt.com,Box 880 Nobleton ON LOG 1NO
AMJ Campbell,1-888-265-6683 705-472-8910,amj@amjcampbell.com,303 Airport Road North Bay ON P1B 8W7
Cann Amm Occupational Testing Services,705-472-7577 800-440-0023,randy.herman@cannamm.com,101 McIntyre Street West North Bay ON P1B 2Y5
HVP Van Lines Inc.,416-358-6787 647-349-5155,anatol@hvpvanlines.com,71 Barber Greene Rd. North York ON M3C 2A2
PianoInside.com,647-218-8863,imsjs78@hotmail.com,325 Bogert Ave North York ON M2N1L8
Harmac Transportation Inc.,416-642-0515 1-800-387-4255,jruddock@harmactransport.com,55 Arrow Road North York ON M9M 2L4
Caravan Group of Companies,905-338-5885,info@caravanlogistics.ca,2284 Wyecroft Rd Oakville ON L6L6M1
Mutual Transportation Services Inc,905-339-3889,info@mutualtransportation.com,627 Lyons Lane Suite 403 Oakville ON L6J5Z7
Universal Freight Express,905-334-5689,info@universalfreight.ca,2255 Falling Green Dr. Oakville ON L6M 5A2
Brewer Vanline Logistics,905-844-1165 1-855-844-1165,service@brewervanlinelogistics.com,3-1165 Invicta Drive Oakville ON L6H 4M1
Ronco Freight International Inc.,905-847-5524,info@roncofreight.com,871 Equestrian Court Units 2-3 Oakville ON L6L 6L7
A TEAM Cargo Logistics Int'l Inc,905-815-8881,operations@ateamcargo.com,407 Speers Rd Suite 203-B Oakville ON L6K 3T5
All Connect Logistical Services,416-213-7187 905-847-6555 800-388-7947,info@allconnect.ca,2139 Wyecroft Road Oakville ON L6L 5L7
Caravan Logistics Inc.,1-888-828-1727 905-338-5885,kevinsnobel@caravanlogistics.ca,2430 Royal Windsor Drive Oakville ON L6J 7Y2
Tankmart International,905-465-1355 1-800-268-1456,info@tankmart.com,2231 Wyecroft Road Oakville ON
Gateway Freight Systems Inc.,905-315-1557 1-800-387-4283,dispatch@gatewayfrt.com,1425 Norjohn Court Unit 6 Oakville ON L7L 0E6
Atlas Van Lines (Canada) Ltd.,905-844-0701 1-800-267-3783,dauld@atlasvanlines.ca,485 North Service Road East Oakville ON L6J 5M7
TANDET Group,905-827-4200,info@tandet.com,1351 Speers Road Oakville ON L7L 2X5
System 55 Transport Inc.,1-800-268-5070 905-842-6800,support@dxstorm.com,2466 Beryl Road Oakville ON L6J 7X4
SYMPLASTICS LIMITED,519-941-5300 1-800-661-2387,info@symplastics.com,21 Tideman Drive Orangeville ON L9W 3K3
Barrie Direct Transportation Inc,705-327-2228      1-866-791-2007,barriedirect@rogers.com,353 Old Muskoka Rd Orillia ON L3V 4G5
Accutrac Capital Solutions Inc,866-531-2615 x201,sales@accutraccapital.com,74 Mississaga Street E. Orillia ON L3V 1V5
Caltrans Logistics Inc.,905-926-8637,dispatch@caltranslogistics.com,650 King St. E Suite 206 Oshawa ON L1H 1G5
Mackie Group,1-800-565-4646 905-728-2400 416-222-2266,info@mackiegroup.com,933 Bloor St. West Oshawa ON L1J 5Y7
Earle's Mobile Mechanic's,905-442-1242,roadservice@canada.com,n.a. Oshawa ON L0B1B0
Boxes on the Move,905-720-2005,info@boxesonthemove.ca,251 Simcoe Street South Oshawa ON L1H4H3
Raglan Industries Inc,905-655-3355,sales@raglan.ca,5151 Simcoe Street North Oshawa ON L1H 7K4
Mc'Larry Express,613-419-7447 1-844-770-7447,sales@mclarryexpress.com,347 Quartz Ave. Ottawa ON K4K0A2
Westmount Moving,613-699-8150  1-800- 465-6588,info@ottawa-gatineau-movers.com,2768 A Sheffield Rd. Ottawa ON K1B3V9
First Rate Movers Inc,613-260-0505,sales@firstratemovers.com,2264 Roger Stevens Drive Ottawa ON K0A 2T0
Easy Manifest,1-888-99-EZMAN,info@easymanifest.com,35 St Claire Ave Ottawa ON K2G 2A1
Clearit.ca,888-668-7595,info@clearit.ca,. Ottawa ON K1X 2B4
AMJ Campbell Self Storage,613-737-3333,amj@amjcampbell.com,2965 Bank Street Ottawa ON K9T 1N9
AMJ Campbell,613-737-0000,amj@amjcampbell.com,2710 Stevenage Drive Ottawa ON K1G 5N2
Petro Canada Fuels,613-225-0700,cperry@petrocanadafuels.ca,1985 Merivale Road Ottawa ON K2G1G1
Wills Transfer Limited,613-744-0970 1-800-267-7937,ottawa@willstransfer.com,3100 Swansea Crest Ottawa ON K1G 3W4
BYEXPRESS Transportation,613-739-3000 613-523-1642,info@byexpress.com,306-1228 Old Innes Road Ottawa ON K1b 3V3
Move-Ottawa Movers,613-321-2062,info@moveottawa.ca,250 Greenbank Road Suite 113 Ottawa ON K2H1E9
GPS to GO,1-888-GPS-8480,sales@gpstogo.ca,1670 Heron Rd. Ottawa ON K1C0C0
City Transfer Delivery & Logistics,1-800-354-4404 613-523-1000,ottawa@citytransfer.net,1435 Sandford Fleming Avenue Unit # 130 Ottawa ON K1G 3H3
TSC Moving & Storage Ltd,613-739-4782,bookings@tsctransport.com,3220 Hawthorne Rd. Ottawa ON K1G 3V9
Moving Boxes.ca,613-822-6900,sales@movingboxes.ca,Ottawa Ottawa ON K1T 4H3
T.S.C. "The Service Company",613-739-4782  1-800-566-6784,site,3220 Hawthorne Rd. Ottawa ON K1G 3V9
Fred Guy Moving & Storage Ltd.,613-744-8632,sales@fredguymoving.com,Ottawa ON
Parkway Van Lines,613-744 - 4781,moving@parkwayvanlines.com,1199 Newmarket Street Ottawa ON K1B 3V1
Cassidy's,613-836-4225  1-800-337-2175,site,128 Willowlea Rd. Ottawa ON K0A 1L0
Hogro Transport Ltd.,519-294-0168,hogro@isp.ca,35767 Grand Bend Road Highway 81 R.R. # 8 Parkhill ON N0M 2K0
Kawartha Courier,705-876-1500  888-919-9907,info@kawarthacourier.ca,164-171A Rink St. Peterborough ON K9J 2J6
Zeitranz Trucking,705-742-7500,zeitranz@bellnet.ca,1349 Keene Road Peterborough ON K9J 6X9
Mid-west Traffic Inc.,705-743-5050,N/A,Peterborough ON
GSNS Expedite,905-839-6313,dispatch@gsns.ca,1949 Spruce Hill Rd Pickering ON L1V 1S6
Cargonet Inc.,905-837-0207,cargonet@idirect.com,1750 Plummer Street Unit 15 Pickering ON L1W 3L7
Immediate Delivery and Courier Service Inc.,416-213-7177,debg@immediate-delivery.com,1895 Clements Road Unit 108 Pickering ON L1W 3V5
JMS Warehousing Inc.,519-339-9077,rbarnes@jmstrans.ca,704 Mara St. Suite 128 Point Edward ON N7V 1X4
JLD Business Solutions,905-885-1268,jdoucette131@cogeco.ca,48 Margaret St. Port Hope ON L1A 1Y3
Mack Tax Inc.,905-885-7333 1-800-263-6225,macktax@bellnet.ca,129 Toronto Rd. Port Hope ON L1A 3S6
Kriska Holdings Ltd.,613-925-5903 1-800-461-8000,info@kriska.com,300 Churchill Road Prescott ON K0E 1T0
J.F. Kitching & Son Ltd.,905-473-3177,info@jfkitching.com,22481 Kennedy Road RR#2 Queensville ON L0G 1R0
Freight Fox Inc,905-761-1888,info@gofreightfox.com,180 Brodie Dr Unit 5 Richmond Hill ON L4B3K8
Summit Credit Corporation,1-800-961-4899 905-780-6144  Ext. 258,Fiona@summitcreditcorp.com,9120 Leslie Street Suite 201 Richmond Hill ON L4B 3J9
Sevana Expedited Services Inc.,905-709-5600 1-888-505-9003,artash@sevanaex.com,65 West Beaver Creek Road Richmond Hill ON L4C 1K4
Paradigm Consulting Inc.,905-764-0749,info@paradigmcorp.ca,9251 Yonge Street Building 8 Suite 232 Richmond Hill ON L4C 9T3
Maves International Software,905-882-8300,info@maves.com,100 York Boulevard Suite 404 Richmond Hill ON L4B 1J8
Mc'Larry Express,613-419-7447 1-844-770-7447,sales@mclarryexpress.com,347 quartz ave Rockland ON K4K0A2
PetaParts,289-637-3807,service@petaparts.com,3241 Kennedy Road Scarborough ON M1V 2J8
Vagans Inc,416-473-8472,sri@vagansinc.com,100 Consillum Place Suite 200 Scarborough ON M1H 3E3
Peace of Mind Courier Inc,416-750-2111,info@pomcourier.com,65 Crockford Blvd Scarborough ON M1R 3B7
Kennedy Towing Inc,416-291-1300,kennedytow@hotmail.com,2933 Kennedy Road Scarborough ON M1V 1S9
Xdatalogix Solutions,212-203-0480,spatel@xdatalogix.com,2165 Lawrence Ave. E Scarborough ON M1P 2P5
Cargo Loading Solutions (Canada),416-273-8212,info@clsca.com,1701-270 Palmdale Dr. Scarborough ON M1T3N8
Troy Transportation Moving and Storage,416-321-9277,info@troymoving.com,55 Ironside Cres Scarborough ON M1X1N3
Friendly Truck Driving School,416-291-9075,friendlytransportation@rogers.com,850 Tapscott Road #9 Scarborough ON M1X 1N4
O'Bryan Transport Inc,(416) 899-4986 (647) 477-5071,obryantrans@hotmail.com,108-829 Birchmount Rd. Scarborough ON M1K1R9
Acts Logistics & Transport Inc,416-754-1068,cchadee@bellnet.ca,209 - 4651 Sheppard Ave E Scarborough ON M1B 1C5
Total Transportation Solutions Inc.,416-636-1444 1-888-636-1444,info@total-transportation.com,20 Casebridge Court Scarborough ON M1B 3M5
FIBA CANNING INC.,905-982-0328,sales@fibacanning.com,2651 Markham Road Scarborough ON M1X 1M4
Kooi Trucking Inc.,519-446-3333,info@kooitruckinginc.com,Scotland ON N0E 1R0
WOODCOCK BROTHERS TRANSPORTATION GROUP,(519)393-6194 1-800-565-5557,bradw@woodcockbrothers.com,PO Box 100 Sebringville ON N0K 1X0
Blue Star Carriers Inc,416-809-4809,dave@bluestarcarriers.com,17956 Warden Avenue Sharon ON L0G 1V0
T.E. Smith Expedited Services,519-284-0296,terry@tesmith.com,St Marys ON
LTS Expedite Xpress,905-641-1311,lts_ex@gto.net,8 Gibson Place St. Catharines ON L2R 1N7
Conrad Refrigerated Trucking,1-800-546-4950,crt@crtinc.net,18-300 Talbot Street St. Thomas ON N5P 4E2
A1 Pilot Dawgs,1-905-308-1515,a1pilotdawgs@gmail.com,2782 Eagle street Stevensville ON L0S1S0
CrossBorder Express,905-658-1511,crossborderexpress@hotmail.com,3794 Netherby Road RR2 Stevensville ON L0S 1S0
CDS Building Movers,613-836-12151-800-267-5516,info@cdsmovers.com,8 Sweetnam Drive Stittsville ON K2S 1G2
MAP Professional Services,905-630-0066,sales@map-prof.com,8 King St. W. Suite 3B Stoney Creek ON L8G 1G8
Peter Ramsay Pilot Cars,905-334-1258,p-dramsay@live.ca,221 Federal St. Stoney Creek ON L8E1P2
Skyway Moving and Home Renovations,289-230-0366,skywaymovingandhomerenovations@hotmail.com,80 Mountain Ave North Stoney Creek ON L8G 3P5
Earl Paddock Transportation Inc.,1-800-263-4587,sales@earlpaddock.com,560 Seaman Street Stoney Creek ON L8E 3X7
Don Anderson Haulage Ltd.,1-800-387-4397,donanderson@andersonhaulage.com,Stouffville ON
AMJ Campbell,1-888-AMJ MOVE 705-525-2744,amj@amjcampbell.com,1367 B Kelly Lake Road Sudbury ON P3E 5P5
Newmarket Equipment Inc.,905-722-0019,tracey@newmarketequipment.ca,23130 Miles Rd Sutton ON L0E 1R0
Triangle Logistics Solutions Inc.,416-747-6474,dispatch@trianglelogistics.ca,8500 Leslie Street Thornhill ON L3T 7M8
Formula Traffic Tickets,905-482-1968,formulatraffic@aol.com,80 Gauguin Ave Thornhill ON L4J 9J4
Mobilizz Inc.,905-731-4727,info@mobilizz.com,138 Baywood Court Thornhill ON L3T 5W3
AMJ Campbell,1-888-265-6683 807-474-4204,amj@amjcampbell.com,P.O. Box 10418 800 Field St. Thunder Bay ON P7B 6T8
New Leaf Construction and Equipment,807 473 0274,admarshall25@hotmail.com,230 Beckwick Road Thunder Bay ON P7G1N7
McKevitt Trucking Ltd.,807-623-0054,info@mckevitt-trucking.com,1200 Carrick Street Thunder Bay ON P7B 5P9
Transport Help,1-866-244-3334 705-692-9222,lhaas@manitoulintransport.com,25 Vagnini Court Thunder Bay ON P3Y 1K8
Broadview Leasing Expediting,519-688-8023,rydee64@hotmail.com,RR6 Rokeby Road Tillsonburg ON N4G4G9
Tower Moving,647-955-6683,valtierrasavana@gmail.com,1801-1 Yonge Street Toronto Ontario Toronto ON M5E 1W7
Cargo Cabbie,647-478-5422,cargocabbie11@gmail.com,401 Logan Avenue Toronto ON M4M 2P2
IMMFinancial.com,866-216-4460,sales@immfinancial.com,250 Yonge St #2201 Toronto ON M5G 1B1
ABS Movers & Storage,416 588-1499,absmovingstorageca@gmail.com,17 Dora Ave Toronto ON 91762
Canadian Fulfillment Center,1-800-604-6495,tyson@interfulfillment.com,420 Finchdene square suite 200 Toronto ON m1x1c2
Pantonium,1-866-797-0426 ext. 700,info@pantonium.com,30-1006 Wellington Street Toronto ON M5E 1S3
BSM Wireless,866-768-4771,epennell@bsmwireless.com,75 International Blvd Toronto ON M9W 6L9
Jackpot Logistics Inc.,1-855-557-5857,info@jackpotlogistics.com,4544 Dufferin Street Suite 208B Toronto ON M3H 5X2
Orbit International Moving Logistics Ltd,416-661-4228,info@orbitmoving.com,212 Dolomite Dr Toronto ON M3J 2N2
InterFulfillment Inc.,1-800-604-4595,info@interfulfillment.com,420 Finchdene Square Toronto ON M1X 1C2
Fluent Moving and Storage,416-819-9829 1-855-235-8368,info@fluentmoving.com,35-2220 Midland Ave Toronto ON M1P3E6
Truckman,416-607-5344,info@truckman.ca,300 Borough Drive Toronto ON M1P 4Z7
Move Me Easy,416-906-8203,info@movemeeasy.ca,34 Pemican Crt Toronto ON M9M2Z3
GPS to GO Toronto,1-888-477-8480,sales@gpstogo.ca,100-2 Toronto Street Toronto ON M5C 2B5
Factor Direct Corporation,1-855-647-3365,info@factordirectcorp.com,222 - 1111 Finch Ave. W Toronto ON M3J 2E5
Go Fleet,1-888-998-1122,sales@gofleet.ca,102-2680 Matheson Blvd Toronto ON L4W0A5
Kitt Logistics Inc,416-201-8755,kitt@kittinc.com,55 Browns Line Toronto ON M8W 3S2
Royal Canadian Supply Chain Inc.,647-344-8142,jonathan@shiproyal.com,2150 Islington Ave #218 Toronto ON M9P 3V4
Transglobe Consultancy Services inc.,416-822-8552,info@tgicl.com,50 Thorncliffe Park Drive Suite 506 Toronto ON M4H1K4
Beckard Associates Ltd.,416-323-0322,eworkssales@gmail.com,206 Gerrard Street East Toronto ON M5A2E6
Aquilian Financial,844-252-0524,jobs1@aquilian.ca,. Uxbridge ON L9P 1R4
Beau-Roc Inc.,613-443-0044,sales@beau-roc.com,300 Universelle Street Vars ON K0A 3H0
LanMesh Wireless Inc.,416-623-9360,info@lanMesh.com,100 Hanlan Road Unit 3 Vaughan ON L4L 4V8
Transportation Compliance Services Inc.,905-761-9300 1-866-650-5037,info@trancomser.com,2700 Steeles Ave.W. Suite 204 Vaughan ON L4K 3C8
Concord Trailer Rental and Leasing Ltd.,416-732-3668,concordtrailerrental@gmail.com,8470 Keele Street Vaughan ON L4K 2A6
AMJ Campbell,1-888-265-6683 416-423-6683,amj@amjcampbell.com,51 Caldari Road Vaughan ON L4K 4G3
GNT (Global Network Trading),905-482-4491,gntcanada@gmail.com,71 Innovation Drive Unit 3 Vaughan ON L4H 0S3
Broad-Connect Telecom Inc.,1-877-228-6616,broadconnect123@gmail.com,151 North Rivermede Rd. Vaughan ON K4K0C4
AZ Logistics Services Ltd,905-553-7860,info@azls.ca,165 William Bowes Boulevard Vaughan ON L6A 4B2
Massaro Trucking Ltd.,416-887-8185,massarotrucking1@yahoo.ca,62 Sgotto Blvd Vaughan ON L4H 1W8
C.H. Robinson Worldwide Inc.,905-264-4943 1-800-387-7208,gomemik@chrobinson.com,7000 Pine Valley Dr. Suite 101 Vaughan ON L4L 4Y8
Petro Star - Tank Truck & Trailer Specialists Ltd.,1-877-966-7366,petrostar@rogers.com,2943 Major Mackenzie Dr. Vaughan ON L6A 0A2
National Fast Freight,905-761-0009 1-800-563-2223,mgmt@nationalfastfreight.com,391 Creditstone Road Vaughan ON L4K1N8
K.A.M. Trucking Inc.,905-899-3399,dispatch@kamtrucking.com,54028 Wellandport Rd. Wainfleet ON L0S1V0
Gregor Transportation Logistics,519-627-1933,gtl@kent.net,8142 Starkweather Line Wallaceburg ON N8A 4L3
Floyd Gibbons Trucking,519-699-0909,dispatch@floydgibbonstrucking.ca,3434 Herrgott Rd Wallenstein ON N0B 2S0
G&B Allen Insurance Brokers Limited,705-924-2632,info@allenfinancial.ca,3 Main Street P.O. Box 189 Warkworth ON K0K 3K0
K - B International Traffic Inc,705-429-8543,k-binternational@sympatico.ca,62 Caribou Trail Wasaga Beach ON L9Z 1N3
Titan Transline Inc,905-659-8595,quotes@titantransline.com,PO Box 1432 Waterdown ON L0R 2H0
TFS Group,519-886-8070 1-800-461-5970,stevem@tfsgroup.com,105 Bauer Place Waterloo ON N2L 6B5
FARRELL ENTERPRISES LTD,416-745-2711 1-800-268-0908,farrellent@aol.com,66 Bartor Road Weston ON M9M 2G5
Central Truck Body Company Ltd.,416-749-2447 749-2449,info@centraltruckbody.com,820 Garyray Drive Weston ON M9L 1X1
Bowden Transport and Logistics,905-665-1940,kim@bowdentransport.com,1111 Burns St. East Whitby ON L1N 6A6
JR Traffic Service,519-251-8500,randy@jrtraffic.net,3110 Lauzon Windsor ON N8T2Z8
Genesis Express & Logistics,1-888-230-9250 519-250-4155,mflattery@genesiscarriers.com,4455 County Road #42 Windsor ON N9A 6J3
Laser Transport Inc.,519-974-3435,truck@lasertrans.com,3380 Wheelton Drive Windsor ON N8W 5A7
Farrow,519 252-7775 x.214,jeff.farrow@farrow.com,2001 Huron Church Road Windsor ON N9A 6L6
Movin' Freight Ltd.,1-866-829-3286 519-737-7747,wk@movinfreight.com,5345 Outer Dr. Unit # 6 Windsor ON N9A6J3
GPSNet Technologies Inc.,519-972-1272,ssutton@gpsnetinc.com,4510 Rhodes Drive Suite 905 Windsor ON N8W 5K5
Coxons Towing Service,519-966-5421,cts@wincom.net,4891 Manning Road Windsor ON N0R 1K0
Custom Services International,519-250-0555,canada@customservicesint.com,4285 Industrial Drive Suite 237 Windsor ON N9C 3R9
Wolverine Freight Systems,1-800-265-5051 519-966-8970,inquiries@wolverinefreight.ca,2500 Airport Rd. Windsor ON N8W 5E7
PSECO Inc.,905-850-1887,pseco_inc@yahoo.com,6201 Hwy 7 Unit 4 Woodbridge ON L4H 0K7
Mr. Rooter Plumbing,905 264-0908,mrrooterwoodbridge@gmail.com,3650 Langstaff Rd Suite 218 Woodbridge ON L4L 9A8
Superior Logistical Services Inc.,905-850-2696 1-866-744-7757,sales@superiorlogistical.com,5770 Highway #7 Woodbridge ON L4L 1T8
Janjua Brother Transport Inc.,905-264-2031,info@janjuatransport.com,8221 Martin Grove Road Woodbridge ON L4L3V5
Rally Logistics Inc.,905-264-2511,info@rallylogistics.com,5B-7600 Highway 27 Woodbridge ON L4H 0P8
Westway Group Canada Inc,1-866-655-5506 905-265-7711,info@westwaygroup.ca,80 Roysun Rd Unit 13 Woodbridge ON L4L 8L8
Precision Truck Lines Inc.,905-851-1996 1-800-890-2558,info@precisiontrucklines.com,8111 Huntington Rd Woodbridge ON L4H 0S6
Elite Permits Inc,519-537-4872,admin@elitepermitsinc.com,822 Parkinson Rd Woodstock ON N4S8L2
Progress Freight,519-462-1753 1-877-723-4599,andy@progressfreight.com,596360 Hwy 59 North Woodstock ON N4S 7W1
Laidlaw Carriers Bulk LP (Ontario),888-209-3867,rfillion@laidlaw.ca,240 Universal Road Woodstock ON N4S 0A9
Country Transport,800-340-5994,info@countrytransport.com,565545 Towerline Road Woodstock ON N4S 7W3
Earl Hardy Trucking Inc.,519-539-4800 1-800-348-1459,contactus@earlhardytrucking.com,822 Parkinson Rd Woodstock ON N4S 8L2
KINSDALE CARRIERS,519-421-0600,info@kinsdale.com,Woodstock ON
Hyndman Transport (1972) Limited,1-800-265-3071 519-335-3575,jcleland@hyndman.ca,Wroxeter ON N0G 2X0
