Store,email
Nursing Home,freeclinic@muslimwelfarecentre.com
Immunization Clinic,freitagspharmacy@bellnet.ca
Franklin Gardens Long Term Care Home,frontdesk@andersonmd.ca
Frederick Mall Pharmacy,frontdesk@beachchiropractic.ca
Free Medical Clinic,frontdesk@carewellhealthgroup.ca
Free Medical Clinic,frontdesk@heartlandwellnessclinic.com
Freitags Pharmacy - Elliot Lake,frontdesk@swanseatownhall.ca
Anderson Medical Centre,frontdesk@wedi.ca
CareWell Health Group,frontenacchiropractic@gmail.com
Heartland Wellness Clinic,frontenacpharmacist@lovelldrugs.com
Swansea Town Hall Community Centre,frontshop@brownspharmacy.ca
West End Diagnostic Imaging - Etobicoke - 3101 Bloor St W,fs08473@wellwise.ca
West End Diagnostic Imaging - Toronto - 2425 Bloor St W,gailcoleman@rogers.com
Frontenac Chiropractic and Sports Rehab,galleriapharmacist@gmail.com
Lovell Drugs - Kingston - 789 Princess St (Frontenac Medical Pharmacy),gan@movewell.ca
Wellwise by Shoppers Drug Mart - Sudbury,gardinerspharmasave@gmail.com
Foot Care By Gail,gateway.physio@cogeco.net
Galleria Pharmacy,gatewayhavenreception@brucecounty.on.ca
Movewell Rehabilitation Services - OHIP Insured Physiotherapy Clinic,gbaslious@gmail.com
Movewell Rehabilitation Services - OHIP Insured Physiotherapy Clinic,gbayclinic@gmail.com
Pharmasave - Kingston - Gardiners Rd,gee-gees@uottawa.ca
Gateway Physiotherapy - North Bay,general.kts958@gmail.com
Gateway Haven,general@covenanthouse.ca
Covenant House Toronto,general@roseofsharonkoreanltc.com
Covenant House Toronto,general@townlinepharmacy.ca
Covenant House Toronto,generalinfo@aifht.ca
Covenant House Toronto,generalinquiries@tadh.com
Emergency Department,geochiro@csolve.net
John P. Larche Medical Imaging,george@essentialpharmacy.ca
Pharmacy,georgetown@medrehabgroup.com
Laboratory,georgianbayphysiotherapy@gmail.com
Oncology Program,getmyrx@outlook.com
Georgian Chiropractic Health Centre,ghcpharm@gmail.com
Essential Pharmacy - LaSalle,ghiasi_ramin@yahoo.com
MedRehab Physiotherapy,ghinfodesk@haltonhealthcare.on.ca
Medicine Shoppe Pharmacy (The) - Oshawa,gibsonltc@chartwellreit.ca
Pharmacy - IDA Pharmacy,glenashtonmedical@hotmail.com
Complex Transitional Care Department,glendale.admin@schlegelvillages.com
Laboratory Services,glenerin@ptgpharmacy.com
Chartwell Gibson Long Term Care Residence,glenridgewalkinclinic@gmail.com
Glenashton Medical Centre - Walk-in Clinic and Family Practice,globalhealthphysiotherapy@gmail.com
Lab Services,gmikhaiel@yahoo.com
Village of Glendale Crossing - Long-Term Care,gnmedicalimaging@gmail.com
Prince Theodore Group of Pharmacies - Mississauga - Dunwin Dr (Glen Erin Pharmacy),goderich@physiotherapyalliance.com
Global Health Physiotherapy Clinic,goldencare_ph@hotmail.com
GNMI Medical Imaging - Mississauga,goodhealthmedicalclinic@hotmail.com
Physiotherapy Alliance - Goderich,gordonpharmasve9730@gmail.com
Physiotherapy Alliance - Goderich,gorediagnostic.clinic@gmail.com
Goldencare Pharmacy - Niagara Falls,gorewayphysio@gmail.com
Goreway Physiotherapy and Rehabilitation Centre,goyeaupharmacy@yahoo.com
Goreway Physiotherapy and Rehabilitation Centre,gracemedicines@gmail.com
Goreway Physiotherapy and Rehabilitation Centre,grandbendpharmacy@gmail.com
Goreway Physiotherapy and Rehabilitation Centre,grandmaraismd@gmail.com
Goyeau Pharmacy,grandmaraisrx@gmail.com
Grace Drug Store,grantphysiotherapy@gmail.com
Pharmasave - Grand Bend,gravenhurst@totalbalancephysio.com
Grand Marais Medical Centre - Walk-In Clinic,gravitychiropractic@gmail.com
Medical Laboratory,greatnorthrx@gmail.com
Grand Marais Pharmacy,greenbayclinic@gmail.com
Grant Physiotherapy,greenfieldpharmacy1212@gmail.com
Total Balance Physiotherapy - Gravenhurst,greenrx@live.com
Gravity Health and Chiropractic - New Liskeard,greenstreetmc@gmail.com
Green Bay Medical Centre - Urgent Care Clinic,greybruce@closingthegap.ca
Greenbrook Pharmacy,grimsby@bioped.com
Greenstreet Medical Centre,gta.info@von.ca
Greenstreet Medical Centre,gtahealth1261@gmail.com
OHIP-Funded Physiotherapy Clinic,gtahomecare@closingthegap.ca
Closing the Gap Healthcare - Mississauga - Matheson Blvd E,guardian@lifecarepharmacy.ca
Closing the Gap Healthcare - Mississauga - Matheson Blvd E,guardian_wheatley@hotmail.com
Closing the Gap Healthcare - Mississauga - Matheson Blvd E,guardiandiscountpharmacy@gmail.com
Closing the Gap Healthcare - Mississauga - Matheson Blvd E,guardiandrugs@rogers.com
Closing the Gap Healthcare - Mississauga - Matheson Blvd E,guardianfergus@gmail.com
Guardian LifeCare Pharmacy - Guelph,guardianhillside@hotmail.com
Guardian Pharmacy - Wheatley (Adamson),guardianpharmacy123@gmail.com
Guardian Pharmacy - Brantford - West St (Guardian Discount Pharmacy),guelph@bioped.com
Guardian Pharmacy - Brampton - Balmoral Dr (Southgate),guelph@lapointefisher.ca
Guardian Pharmacy - Fergus,guildcrestpharmacy@gmail.com
Guardian Pharmacy - Ottawa - Montreal Rd,gvpharmacist@lovelldrugs.com
Guardian Pharmacy - Richmond Hill (Public Health Pharmacy),halek2@mcmaster.ca
BioPed Foot Care Centre - Guelph - Foot Care Services,haltonpharmacy@gmail.com
LaPointe-Fisher Nursing Home,hamilton@bioped.com
Guildcrest Pharmacy,hamiltoncarepharmacy@gmail.com
Lovell Drugs - Oshawa - Grandview St S,hamiltonewen@cbi.ca
Halton Pharmacy,hamilton-maine@lifemark.ca
Guardian Pharmacy - Hamilton - Upper Ottawa St (Hamilton Care Pharmacy),hamilton-mainw@lifemark.ca
West-End Physiotherapy Clinic - Hamilton,hamiltonmedicalcentre1@gmail.com
West-End Physiotherapy Clinic - Hamilton,hamiltonphysiorehab@gmail.com
Lifemark Physiotherapy - Hamilton - Main St E,hamiltonwest@bioped.com
Lifemark Physiotherapy - Hamilton - Main St W,hans.boehnke@sympatico.ca
Hamilton Medical Centre and Walk-In Clinic,hanytadros652@gmail.com
Hamilton Physio and Rehab,happybob@mytlcclinic.ca
Hamilton Physio and Rehab,harmony@srchc.com
BioPed Foot Care Centre - Hamilton West,harrpharmacy@gmail.com
Chiropractic Centre,hazeldeanpharmacy@gmail.com
Pharmasave - Wingham (Brown's),hcare@hellenichome.org
My TLC Clinic,hcc@bmts.com
Harmony Hall Centre for Seniors - Senior's Centre,hccp@grhosp.on.ca
Hazeldean Pharmacy,hchen@heritagenursinghome.com
Long-Term Care Home,hdhpharmacist@lovelldrugs.com
Hanover Care Centre,hdtpharmacy@gmail.com
Heritage Nursing Home (The),health@durham.ca
Guardian Pharmacy - Hamilton - Cannon St (Hamilton Downtown Pharmacy),health@mitaanjigamiing.ca
Kneaded Care,health@mlhu.on.ca
Immunization Clinic,health@naongashiing.ca
Immunization Clinic (The),Health@NaturalRhythms.ca
Immunization Clinic (The) - London,healthcare@ringsideclinic.ca
Oral Health,healthcarepharmacy1920@rogers.com
Ontario Seniors Dental Care Program,healthcentre@mohawkcollege.ca
Health Services,healthcentre@ysm.ca
Health Centre,healthdrugmart@live.ca
Evergreen Health Centre,healthinmotion@bellnet.ca
Evergreen Health Centre,healthlinepeel@peelregion.ca
Health Drug Mart,healthmedicalcentre@outlook.com
Health Drug Mart,healthpluswalkinclinic@gmail.com
Health In Motion Rehabilitation Centre,healthservices@algonquincollege.com
Peel Public Health,healthservices@laurentian.ca
Peel Public Health,healthyfeet@totalfootcare.ca
Health Medical Centre - Walk-in Clinic,heart.centre34@gmail.com
Health Plus Family and Walk-in Clinic,heartpharmacy@hotmail.com
Algonquin College of Applied Arts and Technology - Perth Campus - Health Services for Students and Staff,heartwood@reveraliving.com
Health and Wellness Centre,heather.klopp@shha.on.ca
Heartland Health Pharmacy,hello@corerestorephysio.com
Exeter FHO - South Huron Medical Centre - Exeter Family Health Organization,hello@escapetoserenity.ca
South Huron Medical Centre,hello@ingersollpharmasave.com
South Huron Medical Centre,help@adelaideclinic.ca
Core Restore Physiotherapy,help@infinityhealthcentre.com
Core Restore Physiotherapy,Help@sourcerehab.ca
Pharmasave - Ingersoll,henley@primacareliving.com
Adelaide Clinic,henleyplace@primacareliving.com
Infinity Health Centre - Oakville,here@stpats.ca
Occupational Therapy,heritagehillspharmacy@gmail.com
Source Rehab - Sudbury,heronterrace@srgroup.ca
Henley House (The),hhome@hellenichome.org
St Patrick's Home of Ottawa,highburymc@gmail.com
Guardian Pharmacy - Mississauga - Heritage Hills Blvd,highpark@medspharmacy.ca
Heron Terrace Long Term Care Community,hilaryspharmacy811@gmail.com
Hellenic Home - Scarborough,hillcroft.pharmacy@gmail.com
Hellenic Home - Scarborough,hillel@hillel-ltc.com
Highbury Medical Clinic,hillsclinic@amtelecom.net
High Park Pharmacy MEDS - Toronto - 1938 Bloor St W,hillside@reveraliving.com
Hilary's Pharmacy,hillsidedrugstore@outlook.com
Guardian Pharmacy - Markham - Hillcroft Dr,hillspills@amtelecom.net
Bess and Moe Greenberg Family Hillel Lodge (The) - Ottawa Jewish Home for the Aged,hitek4789sheppard@gmail.com
PharmaChoice - Aylmer - Talbot St W (Hills Clinic Pharmacy),hitekmedica13@gmail.com
Hillside Manor Long Term Care,hlcpharmacy@gmail.com
Hillside Pharmacy - Scarborough,hmartin@vision74.com
PharmaChoice - Aylmer - Talbot St E (Hills Pharmacy),hogan@hoganrxgroup.com
Hitek Medical Imaging - North York - Yonge St,hogancorunna@hoganrxgroup.com
Hitek Medical Imaging - Etobicoke,holyfamilypharmacy@gmail.com
Health Link Pharmacy,homapharmacy2698@gmail.com
Hogan Pharmacy - Sarnia,homesupport@town.stmarys.on.ca
Holy Family Pharmacy,hopestreetltc@southbridgecare.ca
Homa Pharmacy,hornepay@porcupinehu.on.ca
Foot Care Clinic,hpc@uoguelph.ca
Wellness Programs,hpr@cabletv.on.ca
Growing Healthy Families,hr@polyclinic.ca
Health and Performance Centre,hrst@porcupinehu.on.ca
Huron Physiotherapy,humber27wellness@gmail.com
Polyclinic Family and Specialty Medicine,humberphysiotherapy@hotmail.com
Growing Healthy Families,humbervalley@reveraliving.com
Humber Valley Terrace,huntsville@cbi.ca
Humber Valley Terrace,huron.medical.centre@gmail.com
Humber Valley Terrace,hwest@bellnet.ca
CBI Physiotherapy Huntsville - Huntsville - CBI Physiotherapy and Rehabilitation Centre,hydeparkcareph@gmail.com
Huron Medical Centre,hydeparkmedical@hotmail.com
Immunization Clinic,iamphysiotherapyclinic@gmail.com
Mary Berglund Community Health Centre Hub,ian@arnpriorphysiotherapy.com
Mary Berglund Community Health Centre Hub,iccinfo@ccnm.edu
Hyde Park Care Pharmacy,icsregional@southlakeregional.or
Canadian College of Naturopathic Medicine Integrative Cancer Centre,ifalls@porcupinehu.on.ca
Stronach Regional Cancer Centre,ifeelgood@haldimandphysio.ca
Growing Healthy Families,ifguardian@ntl.sympatico.ca
Sexual Health Clinic,ihealthcentrepharmacy@gmail.com
Haldimand Physiotherapy Centre,ilerlodge@reveraliving.com
Haldimand Physiotherapy Centre,imaging@tehn.ca
Iroquois Falls Pharmacy,immunization@county-lambton.on.ca
Diagnostic Imaging,immunization@hkpr.on.ca
Nuclear Medicine,immunization@publichealthgreybruce.on.ca
Petrolia Immunization Clinic,immunization@swpublichealth.ca
Immunization Clinics,improvedcare@outlook.com
Immunization Clinics,info.edw@foundationphysio.com
Vaccine Preventable Diseases,info.hwc@utoronto.ca
Immunization Services,info.vaughanmedical@gmail.com
Immunization Services,info@abira.ca
Vaughan Medical Centre,info@absolutehealthscience.com
Abira Physiotherapy,info@acceleratedphysio.com
Abira Physiotherapy,info@accurateimagingdiagnostics.com
Abira Physiotherapy,info@acdmed.ca
Abira Physiotherapy,info@achievahealth.ca
Accelerated Physio and Sports Rehab - Sudbury,info@acornhealth.ca
Achieva Health - Toronto - Eglinton Ave E,info@actionpotentialrehab.ca
Achieva Health - Toronto - Eglinton Ave E,info@activaid.ca
Acorn Family Health and Wellness Centre,info@activebodytherapy.com
Acorn Family Health and Wellness Centre,info@active-chiropractic.org
Action Potential Rehabilitation,info@activeliving.physio
Activaid Physiotherapy,info@activewellness.ca
Activaid Physiotherapy,info@adcentre.ca
Active Body Physical Therapy,info@adelaideclinic.com
Active Living Physiotherapy and Fitness Club,info@adershotfootclinic.com
Active Wellness,info@admphysiogroup.com
Adelaide Health Clinic,info@advancedfootclinic.ca
Adelaide Health Clinic,info@advancedfootnurse.com
ADM Group Physiotherapy Centres - Montfort Physiotherapy Centre,info@advancedhealth.ca
Advanced Health Care - North York Branch,info@advancedvitality.ca
Advanced Health Care - North York Branch,info@afht.ca
Advanced Rehabilitation Centre - Windsor - 2425 Tecumseh Rd E,info@afhto.ca
Association of Family Health Teams of Ontario,info@agh-fvm.com
Association of Family Health Teams of Ontario,info@ahi.ca
Obstetrical Unit,info@ajaxfootclinic.com
Complex Continuing Care Services,info@ajaxrehab.com
Diagnostic Services,info@ak-chiropractic.ca
Emergency Department,info@albionhillsphysio.com
Gynaecology Clinic,info@algonquinchiropractic.ca
Ajax Foot Clinic and Orthotic Centre,info@alignyourhealth.ca
Algonquin Chiropractic and Massage Clinic,info@alleviatephysiotherapy.com
Align Health Centre,info@anatomyphysioclinic.com
Chiropractic and Acupuncture,info@anh.ca
Massage Therapy,info@annexmedicalimaging.com
Physiotherapy,info@ansonplacecarecentre.ca
Alleviate Physiotherapy,info@apcw.ca
Anatomy Physiotherapy Clinic,info@aplusinstitute.com
Annex Medical Imaging,info@apothecapharmacy.ca
Anson Place Care Centre,info@applebypharmacy.com
Amherstburg Pharmacy Compounding and Wellness,info@applehillspharmacy.com
APLUS Institute - Dental Hygiene Program,info@applemedxray.com
Apotheca Compounding Pharmacy,info@appletreemedicalgroup.com
Appletree Medical Group - Brampton,info@archwayhealth.ca
Appletree Medical Group - Mississauga - Confederation Pkwy,info@ariapharmacy.ca
Appletree Medical Group - Toronto - 1450 O'Connor Dr,info@ashmedicalpharmacy.ca
Archway Health and Sports Services - Grand Bend,info@askdoctoranca.com
Archway Health and Sports Services - Sarnia,info@astonwellness.ca
Aria Pharmacy,info@athletescare.com
Athlete's Care Sports Medicine Centres - The Beach,info@athleticophysio.ca
Athlete's Care Sports Medicine Centres - Markham,info@attuneactiveaging.com
Athlete's Care Sports Medicine Centres - Mississauga,info@aurorafootclinic.com
Athlete's Care Sports Medicine Centres - Mississauga,info@ayrphysio.com
Athlete's Care Sports Medicine Centres - Vaughan,info@backinmotionphysiotherapy.ca
Aurora Foot Clinic and Orthotic Centre,info@backnmotion.com
Ayr Physiotherapy Clinic,info@backtohealthnewmarket.com
Back To Health Chiropractic Clinic,info@backtoliferehab.ca
Chiropractic Care,info@balancechiropractic.ca
Massage Therapy,info@balancedfootcare.ca
Orthotics,info@bankmedicalcentre.com
Back to Life Rehabilitation Centre,info@barclayimaging.com
Back to Life Rehabilitation Centre,info@bartonmedical.ca
Balance Chiropractic - Barrie,info@bathurstdrugmart.com
Bank Medical Centre,info@bayhaven.com
Barclay Diagnostic Imaging,info@bayridgephysio.com
Barton Medical Pharmacy,info@bayshorephysicaltherapy.ca
Bathurst Drug Mart,info@bayviewfinchchiropractic.com
Bay Haven Senior Care Community - Long Term Care Home,info@bayviewwellness.com
Bayshore Physical Therapy,info@belgagepharmacy.com
Bayview-Finch Chiropractic Clinic,info@belvedereheights.com
Bayview-Finch Chiropractic Clinic,info@bennetthealthcarecentre.ca
Belgage Pharmacy,info@besthealthphysio.ca
Belvedere Heights Home for the Aged - Parry Sound,info@bethanylodge.org
Bennett Health Care Centre,info@betterlivinghealth.org
Bennett Health Care Centre,info@bewellchiro.ca
Bennett Health Care Centre,info@bgfamilypharmacy.com
Best Health Physiotherapy,info@billingscourtmanor.com
Long-Term Care Home,info@bio-test.ca
Bio-Test Laboratory - Kanata - Katimavik Rd,info@bloomhealth.ca
Bio-Test Laboratory - Ottawa - Russell Rd,info@bloompharmacy.ca
Bio-Test Laboratory - Ottawa - Russell Rd,info@bloorstpharmacy.com
Bio-Test Laboratory - Ottawa - Robertson Rd,info@blueridgewalkin.com
Bio-Test Laboratory - Carp - Langstaff Dr,info@bluerosemedical.ca
Bloom Pharmacy,info@bluerosepharmacy.com
Blue Ridge Walk-in Clinic,info@bluewaterimaging.ca
Bluewater Imaging - Toronto - 2010 Eglinton Ave W,info@bluewaterphysio.com
Bluewater Imaging - Toronto - 2010 Eglinton Ave W,info@bnbphysio.com
Bluewater Imaging - Belleville,info@bobrumball.org
Bluewater Physiotherapy Clinic,info@bodybliss.ca
Body 'n Balance Physio & Wellness Clinic,info@bodytechphysio.ca
Body 'n Balance Physio & Wellness Clinic,info@boltontotalrehab.com
Bob Rumball Home for the Deaf,info@bonavistamedicalcentrebrantford.com
Body Bliss Physiotherapists,info@boomeranghealth.com
Boomerang Health powered by SickKids,info@bossonspharmacy.com
Boomerang Health powered by SickKids,info@bracebridgechiro.com
Boomerang Health powered by SickKids,info@brainworksrehab.com
Boomerang Health powered by SickKids,info@bramptoncardio.com
Boomerang Health powered by SickKids,info@bramptonfootclinic.com
Guardian Pharmacy - Strathroy - Front St W,info@bramptonnuclear.com
Bracebridge Chiropractic & Wellness Centre,info@brantboucebackphysio.ca
Brainworks Huntsville,info@bridgepointhealth.ca
Brampton Cardio Pulmonary Services,info@bridgestchiropractic.com
Brampton Nuclear Services,info@bridlewoodphysiotherapy.com
Bounce Back Physio and Rehab,info@bright-spot.ca
Chiropody Services,info@bristolpharmacy.ca
Bridge Street Chiropractic and Massage Office,info@brockchc.ca
Bridlewood Medical Centre Physiotherapy,info@brockvillechiropractic.com
Bright Spot Therapy Services - Timmins,info@brodiesdrugstore.ca
Bristol Pharmacy,info@bruyerefootspecialists.com
Primary Health Care Program - Beaverton,info@butterflytherapy.com
Brockville Chiropractic and Health Associates,info@bvlabs.com
Brodies Drug Store,info@cambridgemedicalimaging.ca
Bruyere Foot Specialists,info@canadianapothecary.com
Butterfly Paediatric Therapy,info@canadianplacepharmacy.com
Butterfly Paediatric Therapy,info@canadorecollege.ca
Bureau Veritas - DNA Services,info@canoetherapy.ca
Cambridge Medical Imaging,info@careachc.ca
Canadian Apothecary,info@carebridge.ca
Health Centre,info@carefirstontario.ca
Foot Care Clinic,info@carefor.ca
Carefirst Family Health Team,info@carepartners.ca
Victoria Park - Adult Day Program for Frail or Socially Isolated Seniors,info@carephysio.ca
Silver Star - Adult Day Program for Frail or Socially Isolated Seniors,info@caringrehab.ca
Champlain Local Health Integration Network - Ottawa - Carling Ave - Carling Clinic - Carefor Health & Community Services,info@carletonplacehosp.com
Diagnostic Imaging Services,info@carpenterpharmacy.com
Diagnostic Imaging Services,info@castlemorehealth.com
Physiotherapy,info@cataraquichiropractic.com
Guardian Pharmacy - Carpenter Guardian Pharmacy,info@cbfht.ca
Castlemore Health Centre,info@cbi.ca
Castlemore Health Centre,info@ccmsu.com
Castlemore Health Centre,info@cdimaging.ca
Cataraqui Chiropractic Rehabilitation Centre,info@cfht.ca
Central Brampton Family Health Team,info@chalmersphysio.ca
CBI Home Health - Guelph,info@chartwell.com
Cawthra Gardens Long Term Care Residence,info@childrenstherapy.ca
Villa Forum Long Term Care Residence,info@chiro-med.ca
Chartwell Brant Centre Long Term Care Residence,info@chm.ca
Out-Patient Departments,info@citrusmedical.ca
Out-Patient Departments,info@cklfamilyhealthteam.com
Citrus Medical Centre - Toronto - 2240 Lake Shore Blvd W,info@clarionnursinghome.on.ca
City of Kawartha Lakes Family Health Team,info@clarkwestphysio.com
Little Britain Site,info@clearviewpharmacy.ca
After Hours Clinic - Lindsay Site,info@clinicalfootservices.ca
Clarion Nursing Home,info@collaborativehealthcollingwood.com
Clark West Physio and Rehab,info@collegeboreal.ca
Clear View Pharmacy,info@collegemedicalcare.ca
Dental Hygiene Clinic,info@collegeofhealthstudies.com
Massage Clinic,info@collingwoodchiro.com
College Medical Care Family Practice and Walk-in Clinic,info@communicare.ca
College of Health Studies - Diabetic Foot Care Clinic,info@communitycareforseniors.org
CommuniCare Therapy - Ottawa,info@communitychoice.ca
CommuniCare Therapy - Ottawa,info@communitysupportcentre.ca
Foot Care Clinic - Picton,info@communitywalkinclinic.ca
Foot Care Clinic - Rossmore,info@completetherapy.ca
Foot Care Clinic - Wellington,info@compoundingshoppe.ca
Foot Care Clinic,info@conceive.ca
Complete Therapy,info@concussionnorth.com
Prescription Shoppe (The),info@cooksvilleclinic.com
Ottawa Fertility Centre,info@corcare.net
Ottawa Fertility Centre,info@cordickchiropractic.com
Concussion North - Barrie,info@corktownmedicalcentre.com
Concussion North - Barrie,info@cornerstonehealth.ca
Cooksville Family Clinic,info@cornerstonepharmacy.ca
Corcare Nuclear Medicine - Milner,info@cornerstonephysio.com
Cornerstone Health Centre,info@corporatepharmacy.ca
Cornerstone Pharmacy,info@cottfn.com
Cornerstone Physiotherapy North York,info@coulterspharmacy.com
Guardian Pharmacy - Scarborough - Corporate Dr (Corporate Pharmacy),info@coxwellpharmacy.ca
Chippewa Health Centre,info@cphcare.ca
Chippewa Health Centre,info@craigwielgardens.on.ca
Chippewa Health Centre,info@creativeot.com
Guardian Pharmacy - London - Dundas St (Coulter's),info@crescentparklodge.com
Coxwell Pharmacy,info@crmedicalcentre.ca
Craigholme Nursing Home,info@crosslakepharmacy.com
Creative Therapy Health Services,info@crownpointpharmacy.com
Crescent Park Lodge,info@cvdc.ca
Crown Point Pharmacy,info@cwpharm.ca
Credit Valley X-Ray and Ultrasound - Meadowvale Town Centre - Diagnostic Imaging,info@danforthmain.com
Canadian Vascular Laboratories - Thornhill,info@dearbornhealth.com
Canadian Vascular Laboratories - Newmarket,info@depthtraining.ca
Chancellors Way Pharmacy,info@derryurgentcare.ca
Danforth Main Medical Diagnostic,info@dixiexray.com
Derry Urgent Care Clinic,info@dmarehab.com
Dixie X-ray Associates - North York - 2065 Finch Ave W,info@docspharm.com
Dixie X-Ray Associates - Mississauga - Burnhamthorpe Rd E,info@domlipa.ca
Doctors and Pharmacy,info@doonmillspharmacy.com
Pharma Docs+ - Mississauga,info@downtownfootclinic.com
Dom Lipa Nursing Home,info@drbmeisamifoundation.com
Dom Lipa Nursing Home,info@drkmatheson.com
Dom Lipa Nursing Home,info@drok.ca
Guardian Pharmacy - Doon Mills Guardian Pharmacy,info@drsaturnino.com
Downtown Foot Clinic,info@drsheth.ca
Restoring Smiles - Dr Borna Meisami Commemorative Foundation,info@drtracybray.ca
Matheson Chiropratic Clinic - Orillia,info@drugtownpharmacy.ca
Get Well Pharmacy,info@drwwayne.com
Elgin Mills Crossing Clinic,info@dundas165medicalcare.ca
Back In Motion Chiropractic,info@dundas427.com
Drugtown Pharmacy,info@dundas427physio.com
Dental Surgery,info@dundasclinicalpharmacy.com
Dental Surgery,info@durhamradiology.ca
Dundas427 Medical Centre and Walk in Clinic,info@dynamicbalancephysio.com
Dundas427 Physiotherapy,info@earlbaleswalkin.com
Durham Radiology Associates - Ajax,info@eastdalemedical.com
Dynamic Balance and Sports Injuries Centre,info@eastyorkmealsonwheels.org
Earl Bales Walk-in Clinic and Family Practice,info@eatonvillecarecentre.ca
Earl Bales Walk-in Clinic and Family Practice,Info@ec-orthotics.com
Eastdale Medical Clinic,info@egtafht.ca
Foot Care Clinic,info@elevatephysio.com
Eatonville Care Centre,info@elfht.ca
EC Orthotics,info@elgincountyfootservices.com
Lapsley Site,info@ellesmerefamilyhealth.com
Elevate Physiotherapy,info@elliottcommunity.org
Elliot Lake Family Health Team,info@emkiro.ca
Elgin County Foot Services,info@enablephysio.ca
Ellesmere Family Health Group - Walk-in Clinic and Family Practice,info@eohu.ca
Alexandria,info@eorc-creo.ca
Casselman,info@erhhc.on.ca
Winchester,info@erieshoresrehab.ca
Eastern Ontario Health Unit - Cornwall - Pitt St,info@erincreekpharmasave.com
Eastern Ontario Health Unit - Cornwall - Pitt St - Healthy Smiles Ontario,info@esfestottawa.ca
Orleans - Community Support Services ?€? Foot Care,info@esfnafht.ca
Laboratory,info@esphosp.on.ca
Emergency and Acute Care,info@esphysiotherapy.ca
Pharmacy,info@etvc.ca
Espanola Nursing Home,info@ewfht.ca
Eisenhauer and Smith Physiotherapy,info@excellentcarepharmacy.ca
East Toronto Vascular Clinic - Vascular Ultrasound and Consultation,info@fairviewmh.com
Erin Clinic,info@fchn.ca
Rockwood Clinic,info@feetfirstclinic.com
East Wellington Family Health Team,info@fhc-chc.com
Full Circle Health Network,info@fhmi.ca
Feet First Clinic,info@finandiavillage.ca
Chiropody (Foot Care),info@findlaysdrugstore.com
Prenatal Program,info@firstavepharmacy.com
Prenatal Program,info@firstcarecentre.com
Forest Hill Medical Imaging,info@FirstCarePharmacy.ca
Hoivakoti Nursing Home,info@firstchoicefootcare.com
First Ave Pharmacy,info@floradaleurgentcare.ca
First Chiropractic Care Centre - Chiropractic,info@focushealthphysio.ca
Footcare Community Clinic,info@focusphysiotherapy.com
Chelmsford Site,info@footbyfoot.ca
Focus Health Physiotherapy Plus Wellness,info@footclinic.co
Focus Health Physiotherapy Plus Wellness,info@footfixer.com
Focus Physiotherapy,info@footloosefootcare.ca
Focus Physiotherapy,info@forbesparkpharmacy.com
Foot by Foot,info@foyerrichelieu.com
FCO - Foot Clinic and Orthotics,info@friendlymanornursinghome.com
Stouffville Family Footcare,info@function-ability.com
Footloose and Fancy Free - Foot Care,info@gbfht.ca
Forbes Park Pharmacy,info@genesiscri.com
Foyer Richelieu Welland,info@genesisgardens.ca
Friendly Manor Nursing Home - Long-Term Care Home,info@georgetownpharmacy.ca
FunctionAbility Rehabilitation Services,info@georgianbayfoothealth.com
Georgian Bay Family Health Team,info@georgina.ca
Genesis Community Rehabilitation,info@georginahealthcentre.ca
Le Genesis - Foyer St-Viateur,info@gghorg.ca
Georgina,info@gizhac.com
Georgina Health Centre - Walk-in Medical Clinic,info@glebecentre.ca
Diagnostic Imaging,info@glebephysio.com
Emergency Department,info@glmctbay.com
Immunization Clinic,info@gloucester50pluscentre.ca
Glebe Centre (The) - Ottawa - Monk St,info@gmch.fergus.net
Glebe Physiotherapy and Sport Injury Clinic,info@gnmi.ca
Greater Niagara Medical Imaging - Hamilton - Queenston Rd,info@gnplc.ca
Greater Niagara Medical Imaging - St Catharines - Welland Ave,info@goldenradiology.ca
Greater Niagara Medical Imaging - St Catharines - Pelham Rd,info@gooddoctors.ca
Good Doctors Walk in Clinic - North Bay,info@goodshepherd.ca
Good Shepherd Ministries - Good Shepherd Centre,info@gracemanor.ca
Good Shepherd Ministries - Good Shepherd Centre,info@graftonpharmacy.ca
Good Shepherd Ministries - Good Shepherd Centre,info@grandgenesispharmacy.com
Good Shepherd Ministries - Good Shepherd Centre,info@grandriverphysio.ca
Good Shepherd Ministries - Good Shepherd Centre,info@greenbeltfht.ca
Grace Manor,info@greengatemedical.ca
Grafton Healthcare Pharmacy,info@greybrucefootclinic.ca
Pharmasave - Richmond Hill (Grand Genesis),info@grhosp.on.ca
Grey-Bruce Foot Clinic,info@grossiphysiotherapy.com
Grand River Regional Cancer Centre,info@groveparkhome.on.ca
Medical Imaging,info@guildclinicpharmacy.ca
Emergency Department,info@guildwoodmedical.ca
Grossi Physiotherapy,info@haberspharmacy.com
Grove Park Home - Grove Park Home for Senior Citizens,info@haltonhillsfht.com
Georgetown - 199 Princess Anne Dr,info@haltonmedix.com
Halton Hills Family Health Team,info@haltonmedixmilton.com
Georgetown - 1A Princess Anne Dr,info@hamptonterrace.ca
Georgetown - Hwy 7,info@handleychiropractic.com
Georgetown - 171 Guelph St,info@handtherapy.ca
Halton Medix Walk-in Clinic,Info@happyfamilywellness.ca
Halton Medix - Milton - Walk-in Clinic,info@happyfeet.ca
